,precision,recall,f1-score,support
ARA,0.2808988764044944,0.2183406113537118,0.2457002457002457,229.0
DEU,0.3202247191011236,0.2544642857142857,0.2835820895522388,224.0
FRA,0.2886178861788618,0.3317757009345794,0.30869565217391304,214.0
HIN,0.3767123287671233,0.248868778280543,0.2997275204359673,221.0
ITA,0.46551724137931033,0.12217194570135746,0.1935483870967742,221.0
JPN,0.1943127962085308,0.4632768361581921,0.27378964941569284,177.0
KOR,0.26519337016574585,0.20425531914893616,0.23076923076923078,235.0
SPA,0.3089430894308943,0.18269230769230768,0.229607250755287,208.0
TEL,0.4121863799283154,0.4872881355932203,0.44660194174757284,236.0
TUR,0.23443223443223443,0.2922374429223744,0.2601626016260163,219.0
ZHO,0.23809523809523808,0.3389830508474576,0.27972027972027974,236.0
accuracy,0.28388429752066113,0.28388429752066113,0.28388429752066113,0.28388429752066113
macro avg,0.3077394690992611,0.2858504013042696,0.27744589536301983,2420.0
weighted avg,0.30980753435273695,0.28388429752066113,0.2783884664512266,2420.0
