,precision,recall,f1-score,support
ARA,0.30113636363636365,0.2314410480349345,0.2617283950617284,229.0
DEU,0.39080459770114945,0.30357142857142855,0.3417085427135678,224.0
FRA,0.31666666666666665,0.35514018691588783,0.33480176211453744,214.0
HIN,0.42142857142857143,0.2669683257918552,0.3268698060941828,221.0
ITA,0.5740740740740741,0.14027149321266968,0.22545454545454546,221.0
JPN,0.19457013574660634,0.4858757062146893,0.2778675282714055,177.0
KOR,0.2931937172774869,0.23829787234042554,0.26291079812206575,235.0
SPA,0.33636363636363636,0.1778846153846154,0.23270440251572327,208.0
TEL,0.40350877192982454,0.4872881355932203,0.44145873320537427,236.0
TUR,0.27340823970037453,0.3333333333333333,0.3004115226337449,219.0
ZHO,0.2375366568914956,0.3432203389830508,0.2807625649913345,236.0
accuracy,0.3037190082644628,0.3037190082644628,0.3037190082644628,0.3037190082644628
macro avg,0.34024467558329546,0.30575386221601003,0.2987889637434736,2420.0
weighted avg,0.3424543008792333,0.3037190082644628,0.29991455803262934,2420.0
