,precision,recall,f1-score,support
ARA,0.2,0.02631578947368421,0.046511627906976744,38.0
DEU,0.32608695652173914,0.4444444444444444,0.3761755485893417,135.0
FRA,0.24444444444444444,0.2222222222222222,0.2328042328042328,99.0
HIN,0.40816326530612246,0.45112781954887216,0.42857142857142855,133.0
ITA,0.3333333333333333,0.015384615384615385,0.029411764705882353,65.0
JPN,0.0625,0.09375,0.075,32.0
KOR,0.14606741573033707,0.30952380952380953,0.1984732824427481,42.0
SPA,0.2962962962962963,0.18181818181818182,0.22535211267605634,88.0
TEL,0.38461538461538464,0.1282051282051282,0.19230769230769232,78.0
TUR,0.18803418803418803,0.2894736842105263,0.22797927461139897,76.0
ZHO,0.19230769230769232,0.2727272727272727,0.22556390977443608,55.0
accuracy,0.26516052318668254,0.26516052318668254,0.26516052318668254,0.26516052318668254
macro avg,0.25289536150813985,0.2213629970507961,0.20528644312638128,841.0
weighted avg,0.2863859060464748,0.26516052318668254,0.24947660922672574,841.0
