,precision,recall,f1-score,support
ARA,0.40625,0.6290322580645161,0.4936708860759494,62.0
DEU,0.0,0.0,0.0,4.0
FRA,0.0,0.0,0.0,13.0
HIN,1.0,0.16666666666666666,0.2857142857142857,6.0
ITA,0.40625,0.40625,0.40625,32.0
JPN,0.30985915492957744,0.4489795918367347,0.36666666666666664,49.0
KOR,0.32142857142857145,0.391304347826087,0.35294117647058826,23.0
SPA,0.375,0.2,0.2608695652173913,15.0
TEL,0.4,0.2608695652173913,0.3157894736842105,23.0
TUR,0.0,0.0,0.0,19.0
ZHO,0.25,0.15,0.1875,20.0
accuracy,0.3609022556390977,0.3609022556390977,0.3609022556390977,0.3609022556390977
macro avg,0.31534433875983175,0.24119112996467235,0.24267291398446292,266.0
weighted avg,0.32552051027972345,0.3609022556390977,0.3245578787574529,266.0
