,precision,recall,f1-score,support
ARA,0.449438202247191,0.6451612903225806,0.5298013245033113,62.0
DEU,0.0,0.0,0.0,4.0
FRA,0.5,0.07692307692307693,0.13333333333333333,13.0
HIN,0.5,0.16666666666666666,0.25,6.0
ITA,0.35294117647058826,0.375,0.36363636363636365,32.0
JPN,0.36065573770491804,0.4489795918367347,0.4,49.0
KOR,0.25,0.391304347826087,0.3050847457627119,23.0
SPA,0.375,0.2,0.2608695652173913,15.0
TEL,0.5882352941176471,0.43478260869565216,0.5,23.0
TUR,0.0,0.0,0.0,19.0
ZHO,0.1875,0.15,0.16666666666666666,20.0
accuracy,0.37969924812030076,0.37969924812030076,0.37969924812030076,0.37969924812030076
macro avg,0.3239791282309404,0.2626197802064362,0.26449018173816163,266.0
weighted avg,0.35708958307756217,0.37969924812030076,0.3499274626054092,266.0
