,precision,recall,f1-score,support
ARA,0.1797752808988764,0.11267605633802817,0.13852813852813853,142.0
DEU,0.45652173913043476,0.23863636363636365,0.31343283582089554,88.0
FRA,0.3333333333333333,0.3392857142857143,0.336283185840708,112.0
HIN,0.3404255319148936,0.1839080459770115,0.23880597014925373,87.0
ITA,0.45,0.15126050420168066,0.22641509433962265,119.0
JPN,0.2694300518134715,0.4297520661157025,0.33121019108280253,121.0
KOR,0.3140495867768595,0.2733812949640288,0.2923076923076923,139.0
SPA,0.43636363636363634,0.21238938053097345,0.2857142857142857,113.0
TEL,0.40707964601769914,0.6571428571428571,0.5027322404371585,140.0
TUR,0.2753623188405797,0.17592592592592593,0.21468926553672316,108.0
ZHO,0.267515923566879,0.5793103448275863,0.3660130718954248,145.0
accuracy,0.3181126331811263,0.3181126331811263,0.3181126331811263,0.3181126331811263
macro avg,0.33907791351424216,0.30487895944962473,0.2951029065138823,1314.0
weighted avg,0.3327895487640869,0.3181126331811263,0.2985312664142325,1314.0
