,precision,recall,f1-score,support
ARA,0.24444444444444444,0.15492957746478872,0.1896551724137931,142.0
DEU,0.42105263157894735,0.18181818181818182,0.25396825396825395,88.0
FRA,0.344,0.38392857142857145,0.3628691983122363,112.0
HIN,0.3333333333333333,0.19540229885057472,0.2463768115942029,87.0
ITA,0.5,0.20168067226890757,0.2874251497005988,119.0
JPN,0.28342245989304815,0.4380165289256198,0.34415584415584416,121.0
KOR,0.37719298245614036,0.30935251798561153,0.33992094861660077,139.0
SPA,0.4482758620689655,0.23008849557522124,0.30409356725146197,113.0
TEL,0.40789473684210525,0.6642857142857143,0.5054347826086957,140.0
TUR,0.2698412698412698,0.1574074074074074,0.19883040935672514,108.0
ZHO,0.2980769230769231,0.6413793103448275,0.40700218818380746,145.0
accuracy,0.3401826484018265,0.3401826484018265,0.3401826484018265,0.3401826484018265
macro avg,0.3570486039577434,0.32348084330503873,0.31270293874202,1314.0
weighted avg,0.35436844098875164,0.3401826484018265,0.31968362224381885,1314.0
