,precision,recall,f1-score,support
ARA,0.45098039215686275,0.5021834061135371,0.47520661157024796,229.0
DEU,0.6097560975609756,0.5580357142857143,0.5827505827505828,224.0
FRA,0.5255102040816326,0.48130841121495327,0.5024390243902439,214.0
HIN,0.4217687074829932,0.5610859728506787,0.4815533980582524,221.0
ITA,0.4826388888888889,0.6289592760180995,0.5461689587426326,221.0
JPN,0.3615819209039548,0.7231638418079096,0.4821092278719397,177.0
KOR,0.5054347826086957,0.39574468085106385,0.4439140811455847,235.0
SPA,0.4217687074829932,0.2980769230769231,0.3492957746478873,208.0
TEL,0.5393258426966292,0.6101694915254238,0.5725646123260437,236.0
TUR,0.5575221238938053,0.2876712328767123,0.3795180722891566,219.0
ZHO,0.7008547008547008,0.3474576271186441,0.46458923512747874,236.0
accuracy,0.48677685950413224,0.48677685950413224,0.48677685950413224,0.48677685950413224
macro avg,0.507012942601103,0.49035059797633274,0.48000996172000454,2420.0
weighted avg,0.5113546101692558,0.48677685950413224,0.4810729198421025,2420.0
