,precision,recall,f1-score,support
ARA,0.4396887159533074,0.49344978165938863,0.46502057613168724,229.0
DEU,0.5714285714285714,0.5535714285714286,0.562358276643991,224.0
FRA,0.5051546391752577,0.45794392523364486,0.4803921568627451,214.0
HIN,0.4054878048780488,0.6018099547511312,0.48451730418943534,221.0
ITA,0.5112781954887218,0.6153846153846154,0.5585215605749486,221.0
JPN,0.3473389355742297,0.7005649717514124,0.46441947565543074,177.0
KOR,0.5088757396449705,0.3659574468085106,0.42574257425742573,235.0
SPA,0.39325842696629215,0.33653846153846156,0.3626943005181347,208.0
TEL,0.5822222222222222,0.5550847457627118,0.5683297180043384,236.0
TUR,0.5,0.3013698630136986,0.37606837606837606,219.0
ZHO,0.7731958762886598,0.3177966101694915,0.45045045045045046,236.0
accuracy,0.47768595041322315,0.47768595041322315,0.47768595041322315,0.47768595041322315
macro avg,0.5034481025109346,0.4817701640585905,0.4725922517597239,2420.0
weighted avg,0.5089414501192696,0.47768595041322315,0.47365980882130154,2420.0
