,precision,recall,f1-score,support
ARA,0.0,0.0,0.0,38.0
DEU,0.28117359413202936,0.8518518518518519,0.4227941176470588,135.0
FRA,0.5333333333333333,0.16161616161616163,0.24806201550387597,99.0
HIN,0.335423197492163,0.8045112781954887,0.47345132743362833,133.0
ITA,0.6666666666666666,0.03076923076923077,0.058823529411764705,65.0
JPN,0.0,0.0,0.0,32.0
KOR,0.5,0.07142857142857142,0.125,42.0
SPA,0.3076923076923077,0.18181818181818182,0.22857142857142856,88.0
TEL,0.0,0.0,0.0,78.0
TUR,0.45,0.11842105263157894,0.1875,76.0
ZHO,0.0,0.0,0.0,55.0
accuracy,0.31866825208085614,0.31866825208085614,0.31866825208085614,0.31866825208085614
macro avg,0.2794808272105909,0.20185602984646048,0.15856385623343242,841.0
weighted avg,0.310321018887679,0.31866825208085614,0.22359356372408998,841.0
