,precision,recall,f1-score,support
ARA,0.0,0.0,0.0,38.0
DEU,0.28967254408060455,0.8518518518518519,0.4323308270676692,135.0
FRA,0.6764705882352942,0.23232323232323232,0.3458646616541353,99.0
HIN,0.3273809523809524,0.8270676691729323,0.4690831556503198,133.0
ITA,1.0,0.03076923076923077,0.05970149253731343,65.0
JPN,1.0,0.0625,0.11764705882352941,32.0
KOR,0.4,0.047619047619047616,0.0851063829787234,42.0
SPA,0.24528301886792453,0.14772727272727273,0.18439716312056736,88.0
TEL,0.0,0.0,0.0,78.0
TUR,0.5555555555555556,0.06578947368421052,0.11764705882352941,76.0
ZHO,1.0,0.01818181818181818,0.03571428571428571,55.0
accuracy,0.32461355529131986,0.32461355529131986,0.32461355529131986,0.32461355529131986
macro avg,0.49948751446548467,0.20762087239359966,0.167953826033643,841.0
weighted avg,0.4544889134785279,0.32461355529131986,0.22989953196344334,841.0
