,precision,recall,f1-score,support
ARA,0.3005181347150259,0.9354838709677419,0.4549019607843137,62.0
DEU,0.0,0.0,0.0,4.0
FRA,0.0,0.0,0.0,13.0
HIN,0.0,0.0,0.0,6.0
ITA,0.8571428571428571,0.375,0.5217391304347826,32.0
JPN,0.5869565217391305,0.5510204081632653,0.5684210526315789,49.0
KOR,0.5,0.2608695652173913,0.34285714285714286,23.0
SPA,0.0,0.0,0.0,15.0
TEL,0.0,0.0,0.0,23.0
TUR,0.0,0.0,0.0,19.0
ZHO,0.0,0.0,0.0,20.0
accuracy,0.38721804511278196,0.38721804511278196,0.38721804511278196,0.38721804511278196
macro avg,0.20405613759972852,0.19294307675894531,0.17162902606434713,266.0
weighted avg,0.32451716295533994,0.38721804511278196,0.30315007371128627,266.0
