,precision,recall,f1-score,support
ARA,0.33519553072625696,0.967741935483871,0.4979253112033195,62.0
DEU,0.0,0.0,0.0,4.0
FRA,0.0,0.0,0.0,13.0
HIN,0.0,0.0,0.0,6.0
ITA,0.8235294117647058,0.4375,0.5714285714285714,32.0
JPN,0.5087719298245614,0.5918367346938775,0.5471698113207547,49.0
KOR,0.6666666666666666,0.2608695652173913,0.375,23.0
SPA,0.0,0.0,0.0,15.0
TEL,0.0,0.0,0.0,23.0
TUR,0.0,0.0,0.0,19.0
ZHO,0.0,0.0,0.0,20.0
accuracy,0.40977443609022557,0.40977443609022557,0.40977443609022557,0.40977443609022557
macro avg,0.21219668536201733,0.20526802139955816,0.1810476085411496,266.0
weighted avg,0.3285647442715615,0.40977443609022557,0.31802031704901157,266.0
