,precision,recall,f1-score,support
ARA,0.5967741935483871,0.2605633802816901,0.3627450980392157,142.0
DEU,0.8666666666666667,0.14772727272727273,0.2524271844660194,88.0
FRA,0.6410256410256411,0.44642857142857145,0.5263157894736842,112.0
HIN,0.6,0.06896551724137931,0.12371134020618557,87.0
ITA,0.46774193548387094,0.7310924369747899,0.5704918032786885,119.0
JPN,0.36036036036036034,0.6611570247933884,0.46647230320699706,121.0
KOR,0.4713375796178344,0.5323741007194245,0.5,139.0
SPA,0.5227272727272727,0.20353982300884957,0.2929936305732484,113.0
TEL,0.47509578544061304,0.8857142857142857,0.6184538653366584,140.0
TUR,0.4864864864864865,0.3333333333333333,0.3956043956043956,108.0
ZHO,0.3902439024390244,0.5517241379310345,0.45714285714285713,145.0
accuracy,0.4642313546423135,0.4642313546423135,0.4642313546423135,0.4642313546423135
macro avg,0.5344054385269236,0.43841998946854727,0.41512347884799544,1314.0
weighted avg,0.520922214317001,0.4642313546423135,0.4307215638239558,1314.0
