,precision,recall,f1-score,support
ARA,0.7205882352941176,0.34507042253521125,0.4666666666666667,142.0
DEU,0.8666666666666667,0.14772727272727273,0.2524271844660194,88.0
FRA,0.6219512195121951,0.45535714285714285,0.5257731958762887,112.0
HIN,0.6,0.034482758620689655,0.06521739130434782,87.0
ITA,0.4712041884816754,0.7563025210084033,0.5806451612903226,119.0
JPN,0.3278008298755187,0.6528925619834711,0.43646408839779005,121.0
KOR,0.4198473282442748,0.39568345323741005,0.4074074074074074,139.0
SPA,0.673469387755102,0.2920353982300885,0.4074074074074074,113.0
TEL,0.49603174603174605,0.8928571428571429,0.6377551020408163,140.0
TUR,0.5138888888888888,0.3425925925925926,0.4111111111111111,108.0
ZHO,0.39903846153846156,0.5724137931034483,0.4702549575070821,145.0
accuracy,0.4703196347031963,0.4703196347031963,0.4703196347031963,0.4703196347031963
macro avg,0.5554988138444226,0.444310459977534,0.4237390612250236,1314.0
weighted avg,0.5429617749755377,0.4703196347031963,0.4410114524824108,1314.0
