,precision,recall,f1-score,support
ARA,0.3860294117647059,0.9170305676855895,0.5433376455368694,229.0
DEU,0.9120879120879121,0.7410714285714286,0.8177339901477833,224.0
FRA,0.8625,0.6448598130841121,0.7379679144385026,214.0
HIN,0.6971830985915493,0.4479638009049774,0.5454545454545454,221.0
ITA,0.6959706959706959,0.8597285067873304,0.7692307692307693,221.0
JPN,0.40789473684210525,0.8757062146892656,0.5565529622980251,177.0
KOR,0.7518796992481203,0.425531914893617,0.5434782608695652,235.0
SPA,0.8181818181818182,0.3894230769230769,0.5276872964169381,208.0
TEL,0.728448275862069,0.7161016949152542,0.7222222222222222,236.0
TUR,0.8455284552845529,0.4748858447488584,0.6081871345029239,219.0
ZHO,0.7171052631578947,0.461864406779661,0.5618556701030928,236.0
accuracy,0.6285123966942149,0.6285123966942149,0.6285123966942149,0.6285123966942149
macro avg,0.7111644879083113,0.6321970245439246,0.6303371282928398,2420.0
weighted avg,0.7151085533232536,0.6285123966942149,0.6315243434657342,2420.0
