,precision,recall,f1-score,support
ARA,0.3860294117647059,0.9170305676855895,0.5433376455368694,229.0
DEU,0.9120879120879121,0.7410714285714286,0.8177339901477833,224.0
FRA,0.8679245283018868,0.6448598130841121,0.739946380697051,214.0
HIN,0.6971830985915493,0.4479638009049774,0.5454545454545454,221.0
ITA,0.6959706959706959,0.8597285067873304,0.7692307692307693,221.0
JPN,0.40897097625329815,0.8757062146892656,0.5575539568345323,177.0
KOR,0.753731343283582,0.4297872340425532,0.5474254742547425,235.0
SPA,0.8181818181818182,0.3894230769230769,0.5276872964169381,208.0
TEL,0.728448275862069,0.7161016949152542,0.7222222222222222,236.0
TUR,0.8455284552845529,0.4748858447488584,0.6081871345029239,219.0
ZHO,0.7124183006535948,0.461864406779661,0.5604113110539846,236.0
accuracy,0.6289256198347107,0.6289256198347107,0.6289256198347107,0.6289256198347107
macro avg,0.7114977105668787,0.6325838717392824,0.6308355205774874,2420.0
weighted avg,0.7153896924264369,0.6289256198347107,0.6320149609129317,2420.0
