,precision,recall,f1-score,support
ARA,0.0,0.0,0.0,38.0
DEU,0.6046511627906976,0.9629629629629629,0.7428571428571429,135.0
FRA,0.7159090909090909,0.6363636363636364,0.6737967914438503,99.0
HIN,0.5081967213114754,0.9323308270676691,0.6578249336870027,133.0
ITA,0.7,0.4307692307692308,0.5333333333333333,65.0
JPN,0.45454545454545453,0.15625,0.23255813953488372,32.0
KOR,0.4,0.38095238095238093,0.3902439024390244,42.0
SPA,0.5057471264367817,0.5,0.5028571428571429,88.0
TEL,1.0,0.1282051282051282,0.22727272727272727,78.0
TUR,0.6818181818181818,0.5921052631578947,0.6338028169014085,76.0
ZHO,0.7948717948717948,0.5636363636363636,0.6595744680851063,55.0
accuracy,0.5897740784780023,0.5897740784780023,0.5897740784780023,0.5897740784780023
macro avg,0.578703593880316,0.48032507210138786,0.47764739985560195,841.0
weighted avg,0.6123429287980883,0.5897740784780023,0.5462608739371438,841.0
