,precision,recall,f1-score,support
ARA,0.5,0.02631578947368421,0.05,38.0
DEU,0.6074766355140186,0.9629629629629629,0.7449856733524355,135.0
FRA,0.7111111111111111,0.6464646464646465,0.6772486772486772,99.0
HIN,0.5040650406504065,0.9323308270676691,0.6543535620052771,133.0
ITA,0.7567567567567568,0.4307692307692308,0.5490196078431373,65.0
JPN,0.45454545454545453,0.15625,0.23255813953488372,32.0
KOR,0.41025641025641024,0.38095238095238093,0.3950617283950617,42.0
SPA,0.5348837209302325,0.5227272727272727,0.5287356321839081,88.0
TEL,1.0,0.11538461538461539,0.20689655172413793,78.0
TUR,0.6764705882352942,0.6052631578947368,0.6388888888888888,76.0
ZHO,0.7948717948717948,0.5636363636363636,0.6595744680851063,55.0
accuracy,0.5945303210463734,0.5945303210463734,0.5945303210463734,0.5945303210463734
macro avg,0.631857955715589,0.48573247703032396,0.4852111753874102,841.0
weighted avg,0.6416348276242582,0.5945303210463734,0.5514497672191624,841.0
