,precision,recall,f1-score,support
ARA,0.5,0.9193548387096774,0.6477272727272727,62.0
DEU,0.0,0.0,0.0,4.0
FRA,0.0,0.0,0.0,13.0
HIN,0.0,0.0,0.0,6.0
ITA,0.7272727272727273,0.75,0.7384615384615385,32.0
JPN,0.5,0.673469387755102,0.5739130434782609,49.0
KOR,0.41379310344827586,0.5217391304347826,0.46153846153846156,23.0
SPA,1.0,0.3333333333333333,0.5,15.0
TEL,1.0,0.5217391304347826,0.6857142857142857,23.0
TUR,0.0,0.0,0.0,19.0
ZHO,0.2857142857142857,0.1,0.14814814814814814,20.0
accuracy,0.5451127819548872,0.5451127819548872,0.5451127819548872,0.5451127819548872
macro avg,0.40243455603957173,0.34723962006069803,0.3414093409152698,266.0
weighted avg,0.49625659536211775,0.5451127819548872,0.4840653211280868,266.0
