,precision,recall,f1-score,support
ARA,0.49122807017543857,0.9032258064516129,0.6363636363636364,62.0
DEU,0.0,0.0,0.0,4.0
FRA,0.0,0.0,0.0,13.0
HIN,0.0,0.0,0.0,6.0
ITA,0.7419354838709677,0.71875,0.7301587301587301,32.0
JPN,0.5373134328358209,0.7346938775510204,0.6206896551724138,49.0
KOR,0.4482758620689655,0.5652173913043478,0.5,23.0
SPA,1.0,0.4,0.5714285714285714,15.0
TEL,1.0,0.5217391304347826,0.6857142857142857,23.0
TUR,0.0,0.0,0.0,19.0
ZHO,0.14285714285714285,0.05,0.07407407407407407,20.0
accuracy,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685
macro avg,0.3965099992553032,0.35396601870379674,0.34712990481015554,266.0
weighted avg,0.4950899313098965,0.5526315789473685,0.49081863363688627,266.0
