,precision,recall,f1-score,support
ARA,0.8157894736842105,0.6549295774647887,0.7265625,142.0
DEU,0.8970588235294118,0.6931818181818182,0.782051282051282,88.0
FRA,0.7521367521367521,0.7857142857142857,0.7685589519650655,112.0
HIN,0.8333333333333334,0.40229885057471265,0.5426356589147286,87.0
ITA,0.7518248175182481,0.865546218487395,0.8046875,119.0
JPN,0.7086614173228346,0.743801652892562,0.7258064516129032,121.0
KOR,0.726027397260274,0.762589928057554,0.743859649122807,139.0
SPA,0.7526881720430108,0.6194690265486725,0.6796116504854369,113.0
TEL,0.6666666666666666,0.9428571428571428,0.7810650887573964,140.0
TUR,0.8,0.8148148148148148,0.8073394495412844,108.0
ZHO,0.7901234567901234,0.8827586206896552,0.8338762214983714,145.0
accuracy,0.756468797564688,0.756468797564688,0.756468797564688,0.756468797564688
macro avg,0.7722100282077151,0.7425419942075819,0.7450958549044796,1314.0
weighted avg,0.7663703112494189,0.756468797564688,0.7507664526164578,1314.0
