,precision,recall,f1-score,support
ARA,0.811965811965812,0.6690140845070423,0.7335907335907336,142.0
DEU,0.8985507246376812,0.7045454545454546,0.7898089171974523,88.0
FRA,0.7478991596638656,0.7946428571428571,0.7705627705627706,112.0
HIN,0.8536585365853658,0.40229885057471265,0.546875,87.0
ITA,0.7573529411764706,0.865546218487395,0.807843137254902,119.0
JPN,0.7086614173228346,0.743801652892562,0.7258064516129032,121.0
KOR,0.7291666666666666,0.7553956834532374,0.7420494699646644,139.0
SPA,0.7419354838709677,0.6106194690265486,0.6699029126213593,113.0
TEL,0.6875,0.9428571428571428,0.7951807228915663,140.0
TUR,0.7894736842105263,0.8333333333333334,0.8108108108108109,108.0
ZHO,0.7901234567901234,0.8827586206896552,0.8338762214983714,145.0
accuracy,0.7595129375951294,0.7595129375951294,0.7595129375951294,0.7595129375951294
macro avg,0.7742079893536649,0.7458921243190857,0.7478461043641395,1314.0
weighted avg,0.76830409026027,0.7595129375951294,0.7535456350880805,1314.0
